image_path,label_en,label_vi,split,disposal_guidance
images/train/cardboard/cardboard_001.jpg,cardboard,Giay bia,train,"Gấp phẳng, giữ khô và bỏ vào thùng giấy"
images/train/cardboard/cardboard_002.jpg,cardboard,Giay bia,train,"Gấp phẳng, giữ khô và bỏ vào thùng giấy"
images/train/cardboard/cardboard_003.jpg,cardboard,Giay bia,train,"Gấp phẳng, giữ khô và bỏ vào thùng giấy"
images/train/cardboard/cardboard_004.jpg,cardboard,Giay bia,train,"Gấp phẳng, giữ khô và bỏ vào thùng giấy"
images/train/cardboard/cardboard_005.jpg,cardboard,Giay bia,train,"Gấp phẳng, giữ khô và bỏ vào thùng giấy"
images/val/cardboard/cardboard_006.jpg,cardboard,Giay bia,val,"Gấp phẳng, giữ khô và bỏ vào thùng giấy"
images/test/cardboard/cardboard_007.jpg,cardboard,Giay bia,test,"Gấp phẳng, giữ khô và bỏ vào thùng giấy"
images/train/glass/glass_001.jpg,glass,Thuy tinh,train,"Rửa sạch và bỏ riêng vào thùng thủy tinh"
images/train/glass/glass_002.jpg,glass,Thuy tinh,train,"Rửa sạch và bỏ riêng vào thùng thủy tinh"
images/train/glass/glass_003.jpg,glass,Thuy tinh,train,"Rửa sạch và bỏ riêng vào thùng thủy tinh"
images/train/glass/glass_004.jpg,glass,Thuy tinh,train,"Rửa sạch và bỏ riêng vào thùng thủy tinh"
images/train/glass/glass_005.jpg,glass,Thuy tinh,train,"Rửa sạch và bỏ riêng vào thùng thủy tinh"
images/val/glass/glass_006.jpg,glass,Thuy tinh,val,"Rửa sạch và bỏ riêng vào thùng thủy tinh"
images/test/glass/glass_007.jpg,glass,Thuy tinh,test,"Rửa sạch và bỏ riêng vào thùng thủy tinh"
images/train/metal/metal_001.jpg,metal,Kim loai,train,"Làm sạch lon và vật kim loại rồi bỏ vào thùng tái chế"
images/train/metal/metal_002.jpg,metal,Kim loai,train,"Làm sạch lon và vật kim loại rồi bỏ vào thùng tái chế"
images/train/metal/metal_003.jpg,metal,Kim loai,train,"Làm sạch lon và vật kim loại rồi bỏ vào thùng tái chế"
images/train/metal/metal_004.jpg,metal,Kim loai,train,"Làm sạch lon và vật kim loại rồi bỏ vào thùng tái chế"
images/train/metal/metal_005.jpg,metal,Kim loai,train,"Làm sạch lon và vật kim loại rồi bỏ vào thùng tái chế"
images/val/metal/metal_006.jpg,metal,Kim loai,val,"Làm sạch lon và vật kim loại rồi bỏ vào thùng tái chế"
images/test/metal/metal_007.jpg,metal,Kim loai,test,"Làm sạch lon và vật kim loại rồi bỏ vào thùng tái chế"
images/train/paper/paper_001.jpg,paper,Giay,train,"Giữ giấy khô sạch và bỏ vào thùng giấy"
images/train/paper/paper_002.jpg,paper,Giay,train,"Giữ giấy khô sạch và bỏ vào thùng giấy"
images/train/paper/paper_003.jpg,paper,Giay,train,"Giữ giấy khô sạch và bỏ vào thùng giấy"
images/train/paper/paper_004.jpg,paper,Giay,train,"Giữ giấy khô sạch và bỏ vào thùng giấy"
images/train/paper/paper_005.jpg,paper,Giay,train,"Giữ giấy khô sạch và bỏ vào thùng giấy"
images/val/paper/paper_006.jpg,paper,Giay,val,"Giữ giấy khô sạch và bỏ vào thùng giấy"
images/test/paper/paper_007.jpg,paper,Giay,test,"Giữ giấy khô sạch và bỏ vào thùng giấy"
images/train/plastic/plastic_001.jpg,plastic,Nhua,train,"Đổ hết chất lỏng và bỏ vào thùng nhựa tái chế"
images/train/plastic/plastic_002.jpg,plastic,Nhua,train,"Đổ hết chất lỏng và bỏ vào thùng nhựa tái chế"
images/train/plastic/plastic_003.jpg,plastic,Nhua,train,"Đổ hết chất lỏng và bỏ vào thùng nhựa tái chế"
images/train/plastic/plastic_004.jpg,plastic,Nhua,train,"Đổ hết chất lỏng và bỏ vào thùng nhựa tái chế"
images/train/plastic/plastic_005.jpg,plastic,Nhua,train,"Đổ hết chất lỏng và bỏ vào thùng nhựa tái chế"
images/val/plastic/plastic_006.jpg,plastic,Nhua,val,"Đổ hết chất lỏng và bỏ vào thùng nhựa tái chế"
images/test/plastic/plastic_007.jpg,plastic,Nhua,test,"Đổ hết chất lỏng và bỏ vào thùng nhựa tái chế"
images/train/trash/trash_001.jpg,trash,Rac con lai,train,"Bỏ vào thùng rác còn lại"
images/train/trash/trash_002.jpg,trash,Rac con lai,train,"Bỏ vào thùng rác còn lại"
images/train/trash/trash_003.jpg,trash,Rac con lai,train,"Bỏ vào thùng rác còn lại"
images/train/trash/trash_004.jpg,trash,Rac con lai,train,"Bỏ vào thùng rác còn lại"
images/train/trash/trash_005.jpg,trash,Rac con lai,train,"Bỏ vào thùng rác còn lại"
images/val/trash/trash_006.jpg,trash,Rac con lai,val,"Bỏ vào thùng rác còn lại"
images/test/trash/trash_007.jpg,trash,Rac con lai,test,"Bỏ vào thùng rác còn lại"
